epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8729,2.05676,3.00149,0.9386,0.03733,0.67066,0.05744,0.01468,1.62968,3.39098,0.84296,0.0006,0.0006,0.0006
2,38.0911,2.32694,1.60589,0.92137,0.04567,0.82036,0.07338,0.02394,2.14952,3.03543,0.84875,0.00124159,0.00124159,0.00124159
3,55.8419,2.16255,1.66919,0.89201,0.05,0.8982,0.34015,0.16145,1.80881,2.72446,0.85204,0.00185677,0.00185677,0.00185677
4,73.7458,2.36364,1.379,0.87668,0.051,0.91617,0.644,0.34796,1.68157,2.53001,0.83753,0.0018812,0.0018812,0.0018812
5,91.6885,2.23572,1.37884,0.87493,0.61113,0.29173,0.5196,0.25159,1.86934,2.09335,0.86693,0.0018416,0.0018416,0.0018416
6,109.91,2.05098,1.27622,0.90182,0.67803,0.73137,0.67056,0.35434,1.65335,1.74002,0.85267,0.001802,0.001802,0.001802
7,127.986,2.12034,1.22715,0.89513,0.73729,0.77844,0.7405,0.40226,1.65,1.43713,0.86257,0.0017624,0.0017624,0.0017624
8,145.49,1.9885,1.20538,0.87734,0.84479,0.78223,0.82781,0.46129,1.69107,1.26574,0.87802,0.0017228,0.0017228,0.0017228
9,163.422,1.83612,1.13242,0.86131,0.92041,0.79341,0.86768,0.48942,1.63951,1.0879,0.87509,0.0016832,0.0016832,0.0016832
10,180.913,1.89913,1.13154,0.86965,0.92342,0.80539,0.89194,0.5489,1.49502,1.05952,0.8527,0.0016436,0.0016436,0.0016436
11,198.088,1.72633,1.07426,0.86522,0.90135,0.82063,0.88688,0.53126,1.51104,1.03989,0.85035,0.001604,0.001604,0.001604
12,214.873,1.61164,1.05836,0.85468,0.91637,0.82014,0.88019,0.54748,1.46743,1.02152,0.84817,0.0015644,0.0015644,0.0015644
13,231.983,1.60115,1.01342,0.8617,0.96364,0.80539,0.88687,0.4581,1.772,0.99721,0.87859,0.0015248,0.0015248,0.0015248
14,251.468,1.75855,0.97626,0.83966,0.94629,0.81437,0.89653,0.52512,1.59555,0.95009,0.86422,0.0014852,0.0014852,0.0014852
15,271.325,1.74701,1.0064,0.84715,0.95384,0.80427,0.89823,0.57181,1.42697,0.92711,0.85306,0.0014456,0.0014456,0.0014456
16,292.56,1.70242,1.03675,0.86489,0.94462,0.81703,0.89982,0.5454,1.49351,0.94639,0.86213,0.001406,0.001406,0.001406
17,313.048,1.80375,0.98709,0.84669,0.95085,0.82335,0.90926,0.6486,1.24781,0.85341,0.83748,0.0013664,0.0013664,0.0013664
